name,instances
Anthomastus Like coral,31
Arborescent Stumpy Grey Branching Erect sponges,191
Arborescent coral,49
Attached Stony coral,338
Bioturbation - Organism tests,85
Bony fishes,234
Colonial Unstalked Ascidian,178
Crab,30
Ctenophores jellies,35
Cup-likes sponges,25
Eels,132
Feather stars,62
Free-living coral,28
General unknown biology,67
Hermit Crab with Shell or Stone,44
Irregular urchins,58
Laminar Erect sponges,16
Octopods,18
Other anemones,93
Prawns - Shrimps - Mysids,601
Quill (Sea pen) coral,15
Sea Cucumber,134
Sea stars,57
Sea urchins,454
Sea whip coral,56
Simple Branching coral,15
Snake stars,108
Squat lobsters,198
Stalked Erect sponges,19
True lobsters,20
Tube anemones,48
Tube worms,510
Woody debris,45
